amfi_code,scheme_name,fund_house,category,plan_type,launch_date
100001,HDFC Large Cap Fund - Direct Plan,HDFC,Large Cap,Direct,2016-04-01
100002,ICICI Pru Mid Cap Fund - Regular Plan,ICICI Pru,Mid Cap,Regular,2015-04-13
100003,SBI Small Cap Fund - Direct Plan,SBI,Small Cap,Direct,2018-01-31
100004,Axis Flexi Cap Fund - Regular Plan,Axis,Flexi Cap,Regular,2017-09-30
100005,Kotak ELSS Fund - Direct Plan,Kotak,ELSS,Direct,2017-07-03
100006,Nippon India Debt - Short Duration Fund - Regular Plan,Nippon India,Debt - Short Duration,Regular,2016-07-25
100007,UTI Hybrid - Aggressive Fund - Direct Plan,UTI,Hybrid - Aggressive,Direct,2016-02-24
100008,Aditya Birla SL Index Fund Fund - Regular Plan,Aditya Birla SL,Index Fund,Regular,2021-02-11
100009,Mirae Asset Multi Cap Fund - Direct Plan,Mirae Asset,Multi Cap,Direct,2015-12-23
100010,DSP Focused Fund - Regular Plan,DSP,Focused,Regular,2021-08-15
100011,HDFC Large Cap Fund - Direct Plan,HDFC,Large Cap,Direct,2019-09-25
100012,ICICI Pru Mid Cap Fund - Regular Plan,ICICI Pru,Mid Cap,Regular,2015-05-11
100013,SBI Small Cap Fund - Direct Plan,SBI,Small Cap,Direct,2015-05-03
100014,Axis Flexi Cap Fund - Regular Plan,Axis,Flexi Cap,Regular,2016-01-19
100015,Kotak ELSS Fund - Direct Plan,Kotak,ELSS,Direct,2017-06-14
100016,Nippon India Debt - Short Duration Fund - Regular Plan,Nippon India,Debt - Short Duration,Regular,2017-08-10
100017,UTI Hybrid - Aggressive Fund - Direct Plan,UTI,Hybrid - Aggressive,Direct,2020-08-31
100018,Aditya Birla SL Index Fund Fund - Regular Plan,Aditya Birla SL,Index Fund,Regular,2021-10-01
100019,Mirae Asset Multi Cap Fund - Direct Plan,Mirae Asset,Multi Cap,Direct,2015-04-19
100020,DSP Focused Fund - Regular Plan,DSP,Focused,Regular,2021-04-17
100021,HDFC Large Cap Fund - Direct Plan,HDFC,Large Cap,Direct,2017-03-25
100022,ICICI Pru Mid Cap Fund - Regular Plan,ICICI Pru,Mid Cap,Regular,2021-02-10
100023,SBI Small Cap Fund - Direct Plan,SBI,Small Cap,Direct,2019-09-15
100024,Axis Flexi Cap Fund - Regular Plan,Axis,Flexi Cap,Regular,2017-06-21
100025,Kotak ELSS Fund - Direct Plan,Kotak,ELSS,Direct,2020-01-14
